# ip: 127.0.0.1
# remaining_time, autonomous_robot, alarm, robot_x, robot_y, robot_angle, trees_state, battery_level, temperature, water_level, ground_tank_water_level, leaks_number, used_keys, clicks 
600, 0, '-1', -0.000003980438123107888, -0.0000048931833589449525, 0.00016397783474531025, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
599, 0, '-1', -0.000003316649554108153, -0.0000051172569328628015, 0.00016744568711146712, 'false,false,false,false,false,false,false,false,false', 100, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
598, 0, '-1', -0.0000030796081773587503, -0.000005232941020949511, 0.00016917900939006358, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
597, 0, '-1', -0.0000029743910090473946, -0.000005282029178488301, 0.00016994804900605232, 'false,false,false,false,false,false,false,false,false', 99, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
596, 0, '-1', -0.0000028121369268774288, -0.00000533191177964909, 0.00017071720503736287, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,false,false,false,false,false,false', '-1', '-1'
595, 0, '-1', -0.0000026468096621101722, -0.0000053812673286302015, 0.00017148676852229983, 'false,false,false,false,false,false,false,false,false', 98, 50, 50, 50, 'false,false,false,true,false,false,false,false,false', '-1', '-1'
594, 0, '-1', -0.0000025129813820967684, -0.000005432003945315955, 0.00017226277850568295, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 49.44444444444443, 'false,false,false,true,false,false,false,false,false', '-1', '-1'
593, 0, '-1', -0.0000023703410079178866, -0.0000054836395975144114, 0.0001730572694214061, 'false,false,false,false,false,false,false,false,false', 97, 50, 50, 48.88888888888886, 'false,false,false,true,false,false,false,false,false', '-1', 'minus'
592, 0, '-1', -0.0000022256942884268938, -0.000005534851879929192, 0.0001738514838507399, 'false,false,false,false,false,false,false,false,false', 96, 50, 50, 48.333333333333286, 'false,false,false,true,false,false,false,false,false', '-1', 'minus,minus'
591, 0, '-1', -0.0000020227430468366947, -0.000005585787675954634, 0.00017464686243329197, 'false,false,false,false,true,false,false,false,false', 96, 50, 50, 47.88888888888883, 'false,false,false,true,false,false,false,false,false', '-1', 'plus'
590, 1, '-1', -0.000001938839659487712, -0.000005637049980578013, 0.00017542271234560758, 'false,false,false,false,true,false,false,false,false', 95, 50, 50, 47.61111111111104, 'false,false,false,true,false,false,true,false,false', '-1', 'plus,plus,push'
